"","Year","Date","BigBioPlot","PlantSpNum","Plot","Treatment","Species","Mass.g.m.2.","Planted"
"1",2017,"8/1/2017",29,1,1,"AllPesticides","Lespedeza capitata",26,"planted"
"2",2010,"8/23/2010",29,1,1,"AllPesticides","Aristida basiramea",8.2,"weed"
"3",2010,"8/23/2010",29,1,1,"AllPesticides","Agropyron repens",8.7,"weed"
"4",2023,NA,29,1,1,"AllPesticides","Real weeds",39.2,"weed"
"5",2010,"8/23/2010",29,1,1,"AllPesticides","Cyperus schweinitzii",0.1,"weed"
"6",2011,"8/26/2011",29,1,1,"AllPesticides","Erigeron canadensis",1.1,"weed"
"7",2015,"8/24/2015",29,1,1,"AllPesticides","Rumex acetosella",1.7,"weed"
"8",2015,"8/24/2015",29,1,1,"AllPesticides","Miscellaneous litter",21.4,"weed"
"9",2011,"8/26/2011",29,1,1,"AllPesticides","Agropyron repens",3.2,"weed"
"10",2023,NA,29,1,1,"AllPesticides","32 species weeds",0,"weed"
"11",2008,"10/28/2008",29,1,1,"AllPesticides","Unsorted biomass",154.7,"weed"
"12",2009,"8/17/2009",29,1,1,"AllPesticides","Aristida basiramea",7.3,"weed"
"13",2014,"8/14/2014",29,1,1,"AllPesticides","Crepis tectorum",2.3,"weed"
"14",2017,"8/1/2017",29,1,1,"AllPesticides","Real weeds",78.6,"weed"
"15",2023,NA,29,1,1,"AllPesticides","Miscellaneous litter",13.9,"weed"
"16",2009,"8/17/2009",29,1,1,"AllPesticides","Bouteloua gracilis",15.1,"weed"
"17",2015,"8/24/2015",29,1,1,"AllPesticides","Agropyron repens",1.2,"weed"
"18",2007,"10/5/2007",29,1,1,"AllPesticides","Lespedeza capitata",54.2,"planted"
"19",2012,"8/28/2012",29,1,1,"AllPesticides","Miscellaneous litter",0.3,"weed"
"20",2024,NA,29,1,1,"AllPesticides","32 species weeds",0,"weed"
"21",2014,"8/14/2014",29,1,1,"AllPesticides","Rumex acetosella",3.6,"weed"
"22",2007,"10/5/2007",29,1,1,"AllPesticides","Schizachyrium scoparium",1.3,"weed"
"23",2010,"8/23/2010",29,1,1,"AllPesticides","Euphorbia glyptosperma",2.7,"weed"
"24",2015,"8/24/2015",29,1,1,"AllPesticides","Aristida basiramea",69.8,"weed"
"25",2015,"8/24/2015",29,1,1,"AllPesticides","Poa pratensis",0.6,"weed"
"26",2015,"8/24/2015",29,1,1,"AllPesticides","Lespedeza capitata",114,"planted"
"27",2009,"8/17/2009",29,1,1,"AllPesticides","Agrostis scabra",0.7,"weed"
"28",2023,NA,29,1,1,"AllPesticides","Lespedeza capitata",60.6,"planted"
"29",2016,"8/1/2016",29,1,1,"AllPesticides","Miscellaneous litter",0,"weed"
"30",2024,NA,29,1,1,"AllPesticides","Lespedeza capitata",2.99,"planted"
"31",2009,"8/17/2009",29,1,1,"AllPesticides","Taraxacum officinale",0.2,"weed"
"32",2011,"8/26/2011",29,1,1,"AllPesticides","Taraxacum officinale",0.6,"weed"
"33",2007,"10/5/2007",29,1,1,"AllPesticides","Bouteloua gracilis",0.3,"weed"
"34",2007,"10/5/2007",29,1,1,"AllPesticides","Aristida basiramea",9.6,"weed"
"35",2015,"8/24/2015",29,1,1,"AllPesticides","Schizachyrium scoparium",0.22,"weed"
"36",2009,"8/17/2009",29,1,1,"AllPesticides","Lupinus perennis",218.4,"weed"
"37",2024,NA,29,1,1,"AllPesticides","Real weeds",18.7,"weed"
"38",2012,"8/28/2012",29,1,1,"AllPesticides","Digitaria sp.",0.6,"weed"
"39",2011,"8/26/2011",29,1,1,"AllPesticides","Aristida basiramea",27.1,"weed"
"40",2021,NA,29,1,1,"AllPesticides","Lespedeza capitata",135.4,"planted"
"41",2007,"10/5/2007",29,1,1,"AllPesticides","Cyperus sp.",0.6,"weed"
"42",2014,"8/14/2014",29,1,1,"AllPesticides","Aristida basiramea",5.7,"weed"
"43",2014,"8/14/2014",29,1,1,"AllPesticides","Digitaria sp.",4.6,"weed"
"44",2010,"8/23/2010",29,1,1,"AllPesticides","Cyperus filiculmis",2.5,"weed"
"45",2010,"8/23/2010",29,1,1,"AllPesticides","Hedeoma hispida",0.1,"weed"
"46",2016,"8/1/2016",29,1,1,"AllPesticides","Lespedeza capitata",4.35,"planted"
"47",2012,"8/28/2012",29,1,1,"AllPesticides","Agropyron repens",3.3,"weed"
"48",2013,"8/20/2013",29,1,1,"AllPesticides","Agropyron repens",2.7,"weed"
"49",2012,"8/28/2012",29,1,1,"AllPesticides","Cyperus sp.",0.42,"weed"
"50",2009,"8/17/2009",29,1,1,"AllPesticides","Andropogon gerardi",2.3,"weed"
"51",2013,"8/20/2013",29,1,1,"AllPesticides","Solidago rigida",0.15,"weed"
"52",2013,"8/20/2013",29,1,1,"AllPesticides","Schizachyrium scoparium",0.15,"weed"
"53",2009,"8/17/2009",29,1,1,"AllPesticides","Crepis tectorum",0.2,"weed"
"54",2011,"8/26/2011",29,1,1,"AllPesticides","Poa pratensis",1.7,"weed"
"55",2016,"8/1/2016",29,1,1,"AllPesticides","Real weeds",16.55,"weed"
"56",2016,"8/1/2016",29,1,1,"AllPesticides","32 species weeds",0,"weed"
"57",2015,"8/24/2015",29,1,1,"AllPesticides","Bouteloua gracilis",1,"weed"
"58",2012,"8/28/2012",29,1,1,"AllPesticides","Lespedeza capitata",26.1,"planted"
"59",2012,"8/28/2012",29,1,1,"AllPesticides","Taraxacum officinale",1.4,"weed"
"60",2014,"8/14/2014",29,1,1,"AllPesticides","Cyperus sp.",3.9,"weed"
"61",2012,"8/28/2012",29,1,1,"AllPesticides","Rumex acetosella",1.6,"weed"
"62",2011,"8/26/2011",29,1,1,"AllPesticides","Carex sp.",0.1,"weed"
"63",2014,"8/14/2014",29,1,1,"AllPesticides","Lespedeza capitata",24,"planted"
"64",2011,"8/26/2011",29,1,1,"AllPesticides","Euphorbia glyptosperma",0.1,"weed"
"65",2009,"8/17/2009",29,1,1,"AllPesticides","Petalostemum candidum",3,"weed"
"66",2014,"8/14/2014",29,1,1,"AllPesticides","Miscellaneous litter",4.2,"weed"
"67",2013,"8/20/2013",29,1,1,"AllPesticides","Rumex acetosella",0.34,"weed"
"68",2013,"8/20/2013",29,1,1,"AllPesticides","Poa pratensis",0.63,"weed"
"69",2010,"8/23/2010",29,1,1,"AllPesticides","Miscellaneous litter",4.8,"weed"
"70",2009,"8/17/2009",29,1,1,"AllPesticides","Agropyron repens",1.2,"weed"
"71",2014,"8/14/2014",29,1,1,"AllPesticides","Poa pratensis",3.1,"weed"
"72",2012,"8/28/2012",29,1,1,"AllPesticides","Aristida basiramea",25.8,"weed"
"73",2009,"8/17/2009",29,1,1,"AllPesticides","Achillea millefolium (lanulosa)",4.5,"weed"
"74",2021,NA,29,1,1,"AllPesticides","Miscellaneous litter",45.3,"weed"
"75",2009,"8/17/2009",29,1,1,"AllPesticides","Miscellaneous litter",13.5,"weed"
"76",2011,"8/26/2011",29,1,1,"AllPesticides","Rumex acetosella",7.4,"weed"
"77",2009,"8/17/2009",29,1,1,"AllPesticides","Poa pratensis",5,"weed"
"78",2009,"8/17/2009",29,1,1,"AllPesticides","Asclepias tuberosa",5.6,"weed"
"79",2014,"8/14/2014",29,1,1,"AllPesticides","Physalis virginiana",1.4,"weed"
"80",2009,"8/17/2009",29,1,1,"AllPesticides","Lespedeza capitata",115.8,"planted"
"81",2024,NA,29,1,1,"AllPesticides","Miscellaneous litter",0,"weed"
"82",2007,"10/5/2007",29,1,1,"AllPesticides","Agropyron repens",1.1,"weed"
"83",2011,"8/26/2011",29,1,1,"AllPesticides","Achillea millefolium (lanulosa)",0.3,"weed"
"84",2013,"8/20/2013",29,1,1,"AllPesticides","Aristida basiramea",2.6,"weed"
"85",2013,"8/20/2013",29,1,1,"AllPesticides","Lespedeza capitata",29.8,"planted"
"86",2021,NA,29,1,1,"AllPesticides","Real weeds",68.2,"weed"
"87",2018,"8/1/2018",29,1,1,"AllPesticides","Lespedeza capitata",20.1,"planted"
"88",2018,"8/1/2018",29,1,1,"AllPesticides","Real weeds",27.4,"weed"
"89",2009,"8/17/2009",29,1,1,"AllPesticides","Petalostemum purpureum",66.1,"weed"
"90",2011,"8/26/2011",29,1,1,"AllPesticides","Lespedeza capitata",328.5,"planted"
"91",2009,"8/17/2009",29,1,1,"AllPesticides","Solidago nemoralis",0.7,"weed"
"92",2018,"8/1/2018",29,1,1,"AllPesticides","32 species weeds",19.5,"weed"
"93",2013,"8/20/2013",29,1,1,"AllPesticides","Crepis tectorum",0.28,"weed"
"94",2013,"8/20/2013",29,1,1,"AllPesticides","Ambrosia artemisiifolia elatior",0.64,"weed"
"95",2011,"8/26/2011",29,1,1,"AllPesticides","Cyperus sp.",1.2,"weed"
"96",2010,"8/23/2010",29,1,1,"AllPesticides","Erigeron canadensis",0.7,"weed"
"97",2010,"8/23/2010",29,1,1,"AllPesticides","Poa pratensis",0.6,"weed"
"98",2018,"8/1/2018",29,1,1,"AllPesticides","Miscellaneous litter",39.4,"weed"
"99",2010,"8/23/2010",29,1,1,"AllPesticides","Solidago altissima",12.6,"weed"
"100",2022,NA,29,1,1,"AllPesticides","Real weeds",29.2,"weed"
"101",2011,"8/26/2011",29,1,1,"AllPesticides","Physalis virginiana",1.2,"weed"
"102",2022,NA,29,1,1,"AllPesticides","Lespedeza capitata",180,"planted"
