"","Plot","Year","Treatment","invsimpson_biomass","BigBioPlot","NumSp"
"1",1,2017,"AllPesticides",1,29,1
"2",1,2011,"AllPesticides",1,29,1
"3",1,2021,"AllPesticides",1,29,1
"4",1,2018,"AllPesticides",1,29,1
"5",1,2013,"AllPesticides",1,29,1
"6",1,2012,"AllPesticides",1,29,1
"7",1,2014,"AllPesticides",1,29,1
"8",1,2016,"AllPesticides",1,29,1
"9",1,2023,"AllPesticides",1,29,1
"10",1,2015,"AllPesticides",1,29,1
"11",1,2010,"AllPesticides",1,29,1
"12",1,2022,"AllPesticides",1,29,1
"13",1,2007,"AllPesticides",1,29,1
"14",1,2009,"AllPesticides",1,29,1
"15",1,2024,"AllPesticides",1,29,1
"16",2,2024,"Insecticide",1,29,1
"17",2,2016,"Insecticide",1,29,1
"18",2,2012,"Insecticide",1,29,1
"19",2,2023,"Insecticide",1,29,1
"20",2,2011,"Insecticide",1,29,1
"21",2,2021,"Insecticide",1,29,1
"22",2,2022,"Insecticide",1,29,1
"23",2,2007,"Insecticide",1,29,1
"24",2,2010,"Insecticide",1,29,1
"25",2,2009,"Insecticide",1,29,1
"26",2,2017,"Insecticide",1,29,1
"27",2,2015,"Insecticide",1,29,1
"28",2,2013,"Insecticide",1,29,1
"29",2,2018,"Insecticide",1,29,1
"30",2,2014,"Insecticide",1,29,1
"31",3,2007,"Control",1,29,1
"32",3,2015,"Control",1,29,1
"33",3,2012,"Control",1,29,1
"34",3,2017,"Control",1,29,1
"35",3,2009,"Control",1,29,1
"36",3,2023,"Control",1,29,1
"37",3,2021,"Control",1,29,1
"38",3,2013,"Control",1,29,1
"39",3,2010,"Control",1,29,1
"40",3,2014,"Control",1,29,1
"41",3,2016,"Control",1,29,1
"42",3,2011,"Control",1,29,1
"43",3,2018,"Control",1,29,1
"44",3,2022,"Control",1,29,1
"45",3,2024,"Control",1,29,1
"46",4,2012,"SoilDrenchFungicide",1,29,1
"47",4,2015,"SoilDrenchFungicide",1,29,1
"48",4,2017,"SoilDrenchFungicide",1,29,1
"49",4,2016,"SoilDrenchFungicide",1,29,1
"50",4,2024,"SoilDrenchFungicide",1,29,1
"51",4,2011,"SoilDrenchFungicide",1,29,1
"52",4,2018,"SoilDrenchFungicide",1,29,1
"53",4,2007,"SoilDrenchFungicide",1,29,1
"54",4,2022,"SoilDrenchFungicide",1,29,1
"55",4,2014,"SoilDrenchFungicide",1,29,1
"56",4,2023,"SoilDrenchFungicide",1,29,1
"57",4,2009,"SoilDrenchFungicide",1,29,1
"58",4,2013,"SoilDrenchFungicide",1,29,1
"59",4,2021,"SoilDrenchFungicide",1,29,1
"60",4,2010,"SoilDrenchFungicide",1,29,1
"61",5,2014,"FoliarFungicide",1,29,1
"62",5,2007,"FoliarFungicide",1,29,1
"63",5,2015,"FoliarFungicide",1,29,1
"64",5,2016,"FoliarFungicide",1,29,1
"65",5,2017,"FoliarFungicide",1,29,1
"66",5,2021,"FoliarFungicide",1,29,1
"67",5,2010,"FoliarFungicide",1,29,1
"68",5,2013,"FoliarFungicide",1,29,1
"69",5,2022,"FoliarFungicide",1,29,1
"70",5,2012,"FoliarFungicide",1,29,1
"71",5,2011,"FoliarFungicide",1,29,1
"72",5,2009,"FoliarFungicide",1,29,1
"73",5,2018,"FoliarFungicide",1,29,1
"74",5,2024,"FoliarFungicide",1,29,1
"75",5,2023,"FoliarFungicide",1,29,1
"76",6,2010,"FoliarFungicide",2.5331256581159,64,32
"77",6,2021,"FoliarFungicide",3.04845216741828,64,32
"78",6,2017,"FoliarFungicide",5.06579429120156,64,32
"79",6,2007,"FoliarFungicide",6.18985239365847,64,32
"80",6,2016,"FoliarFungicide",4.68933593403967,64,32
"81",6,2013,"FoliarFungicide",4.0075009749704,64,32
"82",6,2015,"FoliarFungicide",2.26090866431406,64,32
"83",6,2022,"FoliarFungicide",3.52243335493863,64,32
"84",6,2009,"FoliarFungicide",1.9012164069266,64,32
"85",6,2023,"FoliarFungicide",5.11189768486784,64,32
"86",6,2011,"FoliarFungicide",3.91540424037127,64,32
"87",6,2012,"FoliarFungicide",4.81172486998989,64,32
"88",6,2014,"FoliarFungicide",2.79305961332163,64,32
"89",6,2024,"FoliarFungicide",3.24809483573069,64,32
"90",6,2018,"FoliarFungicide",4.95126548060101,64,32
"91",7,2021,"Insecticide",4.53087452669032,64,32
"92",7,2010,"Insecticide",5.09041975961132,64,32
"93",7,2014,"Insecticide",4.20936615353742,64,32
"94",7,2013,"Insecticide",6.01340919155842,64,32
"95",7,2012,"Insecticide",3.47986404680731,64,32
"96",7,2011,"Insecticide",6.87755624615961,64,32
"97",7,2016,"Insecticide",3.40085262833934,64,32
"98",7,2017,"Insecticide",5.10956757692368,64,32
"99",7,2024,"Insecticide",2.46446411559995,64,32
"100",7,2018,"Insecticide",3.48803876209877,64,32
"101",7,2009,"Insecticide",4.06372291338123,64,32
"102",7,2007,"Insecticide",7.22669268028484,64,32
"103",7,2015,"Insecticide",4.25390172186368,64,32
"104",7,2023,"Insecticide",3.21859033987251,64,32
"105",7,2022,"Insecticide",3.32976526051035,64,32
"106",8,2021,"AllPesticides",3.96319899542768,64,32
"107",8,2011,"AllPesticides",3.15892161852257,64,32
"108",8,2018,"AllPesticides",5.34113001554862,64,32
"109",8,2010,"AllPesticides",5.34488458622265,64,32
"110",8,2013,"AllPesticides",2.85133370005637,64,32
"111",8,2012,"AllPesticides",6.54044882671191,64,32
"112",8,2007,"AllPesticides",5.88157461399872,64,32
"113",8,2024,"AllPesticides",3.25004620534641,64,32
"114",8,2017,"AllPesticides",3.3547438474045,64,32
"115",8,2015,"AllPesticides",5.32846417594196,64,32
"116",8,2016,"AllPesticides",5.56747829373176,64,32
"117",8,2014,"AllPesticides",6.06050798595859,64,32
"118",8,2009,"AllPesticides",2.32203878973915,64,32
"119",8,2022,"AllPesticides",4.81904603541402,64,32
"120",8,2023,"AllPesticides",2.37000430424631,64,32
"121",9,2023,"Control",2.57134629558441,64,32
"122",9,2009,"Control",4.9770218804916,64,32
"123",9,2017,"Control",5.30592870179064,64,32
"124",9,2011,"Control",4.5031266741223,64,32
"125",9,2010,"Control",3.53546747167247,64,32
"126",9,2014,"Control",4.30164045390125,64,32
"127",9,2012,"Control",6.40955434868518,64,32
"128",9,2013,"Control",2.31605702021551,64,32
"129",9,2007,"Control",3.45380159598169,64,32
"130",9,2022,"Control",3.33563761816158,64,32
"131",9,2021,"Control",5.97294941820625,64,32
"132",9,2016,"Control",4.17889832648552,64,32
"133",9,2018,"Control",3.05246098300901,64,32
"134",9,2024,"Control",5.91624335391584,64,32
"135",9,2015,"Control",3.41965275769969,64,32
"136",10,2007,"SoilDrenchFungicide",1.7429121990256,64,32
"137",10,2023,"SoilDrenchFungicide",4.59370513441737,64,32
"138",10,2011,"SoilDrenchFungicide",6.08245527794995,64,32
"139",10,2021,"SoilDrenchFungicide",3.4537477535656,64,32
"140",10,2017,"SoilDrenchFungicide",4.40363910621728,64,32
"141",10,2010,"SoilDrenchFungicide",2.78153200495973,64,32
"142",10,2014,"SoilDrenchFungicide",2.94170082232712,64,32
"143",10,2012,"SoilDrenchFungicide",1.73369433089756,64,32
"144",10,2022,"SoilDrenchFungicide",2.40644282948867,64,32
"145",10,2016,"SoilDrenchFungicide",1.50233308137957,64,32
"146",10,2024,"SoilDrenchFungicide",1.8709535587873,64,32
"147",10,2018,"SoilDrenchFungicide",3.45744591581131,64,32
"148",10,2013,"SoilDrenchFungicide",1.68215777846814,64,32
"149",10,2015,"SoilDrenchFungicide",1.64904415145652,64,32
"150",11,2011,"SoilDrenchFungicide",1,69,1
"151",11,2024,"SoilDrenchFungicide",1,69,1
"152",11,2018,"SoilDrenchFungicide",Inf,69,1
"153",11,2013,"SoilDrenchFungicide",1,69,1
"154",11,2022,"SoilDrenchFungicide",1,69,1
"155",11,2017,"SoilDrenchFungicide",1,69,1
"156",11,2023,"SoilDrenchFungicide",1,69,1
"157",11,2009,"SoilDrenchFungicide",1,69,1
"158",11,2021,"SoilDrenchFungicide",1,69,1
"159",11,2015,"SoilDrenchFungicide",1,69,1
"160",11,2014,"SoilDrenchFungicide",1,69,1
"161",11,2012,"SoilDrenchFungicide",1,69,1
"162",11,2016,"SoilDrenchFungicide",Inf,69,1
"163",12,2018,"AllPesticides",1,69,1
"164",12,2009,"AllPesticides",1,69,1
"165",12,2012,"AllPesticides",1,69,1
"166",12,2022,"AllPesticides",1,69,1
"167",12,2013,"AllPesticides",1,69,1
"168",12,2014,"AllPesticides",1,69,1
"169",12,2015,"AllPesticides",1,69,1
"170",12,2017,"AllPesticides",1,69,1
"171",12,2021,"AllPesticides",1,69,1
"172",12,2010,"AllPesticides",1,69,1
"173",12,2016,"AllPesticides",1,69,1
"174",12,2024,"AllPesticides",1,69,1
"175",12,2011,"AllPesticides",1,69,1
"176",12,2007,"AllPesticides",1,69,1
"177",12,2023,"AllPesticides",1,69,1
"178",13,2007,"FoliarFungicide",1,69,1
"179",13,2022,"FoliarFungicide",1,69,1
"180",13,2012,"FoliarFungicide",1,69,1
"181",13,2021,"FoliarFungicide",1,69,1
"182",13,2018,"FoliarFungicide",1,69,1
"183",13,2009,"FoliarFungicide",1,69,1
"184",13,2014,"FoliarFungicide",1,69,1
"185",13,2016,"FoliarFungicide",1,69,1
"186",13,2023,"FoliarFungicide",1,69,1
