"","Year","Plot","Subplot","Treatment","FertTrt","Species","Mass.g.m.2."
"1",2008,1,"na","Insecticide","n","Unsorted biomass",138.7
"2",2008,2,"na","Control","n","Unsorted biomass",207.1
"3",2008,3,"na","FoliarFungicide","n","Unsorted biomass",237.5
"4",2008,4,"na","SoilDrenchFungicide","n","Unsorted biomass",88.2
"5",2008,5,"na","AllPesticides","n","Unsorted biomass",148.3
"6",2008,6,"na","Fenced","n","Unsorted biomass",177.3
"7",2008,7,"na","AllPesticides","n","Unsorted biomass",234.2
"8",2008,8,"na","Control","n","Unsorted biomass",114.7
"9",2008,9,"na","Insecticide","n","Unsorted biomass",160.5
"10",2008,10,"na","FoliarFungicide","n","Unsorted biomass",98.8
"11",2008,11,"na","SoilDrenchFungicide","n","Unsorted biomass",80.9
"12",2008,12,"na","Fenced","n","Unsorted biomass",270.1
"13",2008,13,"na","AllPesticides","n","Unsorted biomass",144.1
"14",2008,14,"na","Control","n","Unsorted biomass",210.4
"15",2008,15,"na","FoliarFungicide","n","Unsorted biomass",137.6
"16",2008,16,"na","Insecticide","n","Unsorted biomass",105.9
"17",2008,17,"na","SoilDrenchFungicide","n","Unsorted biomass",174.7
"18",2008,18,"na","Fenced","n","Unsorted biomass",220.4
"19",2008,19,"na","Insecticide","n","Unsorted biomass",507.1
"20",2008,20,"na","SoilDrenchFungicide","n","Unsorted biomass",178.6
"21",2008,21,"na","Fenced","n","Unsorted biomass",236.9
"22",2008,22,"na","FoliarFungicide","n","Unsorted biomass",220.2
"23",2008,23,"na","AllPesticides","n","Unsorted biomass",177.1
"24",2008,24,"na","Control","n","Unsorted biomass",200.5
"25",2008,25,"na","Fenced","n","Unsorted biomass",63.6
"26",2008,26,"na","FoliarFungicide","n","Unsorted biomass",228.9
"27",2008,27,"na","SoilDrenchFungicide","n","Unsorted biomass",155.3
"28",2008,28,"na","AllPesticides","n","Unsorted biomass",240.7
"29",2008,29,"na","Control","n","Unsorted biomass",156.9
"30",2008,30,"na","Insecticide","n","Unsorted biomass",179.5
"31",2008,31,"na","SoilDrenchFungicide","n","Unsorted biomass",156.1
"32",2008,32,"na","Control","n","Unsorted biomass",129.5
"33",2008,33,"na","Fenced","n","Unsorted biomass",27.4
"34",2008,34,"na","AllPesticides","n","Unsorted biomass",46.3
"35",2008,35,"na","Insecticide","n","Unsorted biomass",156.8
"36",2008,36,"na","FoliarFungicide","n","Unsorted biomass",138.3
"37",2008,37,"na","Control","n","Unsorted biomass",74.8
"38",2008,38,"na","Fenced","n","Unsorted biomass",117.5
"39",2008,39,"na","FoliarFungicide","n","Unsorted biomass",209
"40",2008,40,"na","Insecticide","n","Unsorted biomass",229.1
"41",2008,41,"na","AllPesticides","n","Unsorted biomass",148.8
"42",2008,42,"na","SoilDrenchFungicide","n","Unsorted biomass",46.6
"43",2008,43,"na","Fenced","n","Unsorted biomass",184.4
"44",2008,44,"na","AllPesticides","n","Unsorted biomass",214.3
"45",2008,45,"na","Insecticide","n","Unsorted biomass",135.4
"46",2008,46,"na","SoilDrenchFungicide","n","Unsorted biomass",183.9
"47",2008,47,"na","Control","n","Unsorted biomass",88.5
"48",2008,48,"na","FoliarFungicide","n","Unsorted biomass",157.5
"49",2009,1,"na","Insecticide","n","C3 grasses",20
"50",2009,1,"na","Insecticide","n","C4 grasses",70.3
"51",2009,1,"na","Insecticide","n","Forbes",16.05
"52",2009,1,"na","Insecticide","n","Legumes",0.95
"53",2009,1,"na","Insecticide","n","Miscellaneous litter",70.25
"54",2009,1,"na","Insecticide","n","Sedges",1.55
"55",2009,2,"na","Control","n","Carex sp.",0.75
"56",2009,2,"na","Control","n","Cyperus sp.",3.7
"57",2009,2,"na","Control","n","Koeleria cristata",11.8
"58",2009,2,"na","Control","n","Lespedeza capitata",3.05
"59",2009,2,"na","Control","n","Lithospermum caroliniense",19.6
"60",2009,2,"na","Control","n","Miscellaneous litter",99.75
"61",2009,2,"na","Control","n","Panicum perlongum",0.5
"62",2009,2,"na","Control","n","Poa pratensis",34.9
"63",2009,2,"na","Control","n","Sorghastrum nutans",26.65
"64",2009,3,"na","FoliarFungicide","n","Ambrosia artemisiifolia elatior",0.05
"65",2009,3,"na","FoliarFungicide","n","Aristida basiramea",0.6
"66",2009,3,"na","FoliarFungicide","n","Carex sp.",1.25
"67",2009,3,"na","FoliarFungicide","n","Cyperus sp.",1.1
"68",2009,3,"na","FoliarFungicide","n","Helianthemum bicknellii",1.05
"69",2009,3,"na","FoliarFungicide","n","Koeleria cristata",35.45
"70",2009,3,"na","FoliarFungicide","n","Lespedeza capitata",7.9
"71",2009,3,"na","FoliarFungicide","n","Miscellaneous litter",126
"72",2009,3,"na","FoliarFungicide","n","Panicum perlongum",0.9
"73",2009,3,"na","FoliarFungicide","n","Poa pratensis",26.25
"74",2009,3,"na","FoliarFungicide","n","Sorghastrum nutans",99.95
"75",2009,3,"na","FoliarFungicide","n","Viola pedata",0.35
"76",2009,4,"na","SoilDrenchFungicide","n","Ambrosia artemisiifolia elatior",0.65
"77",2009,4,"na","SoilDrenchFungicide","n","Carex sp.",0.45
"78",2009,4,"na","SoilDrenchFungicide","n","Cyperus sp.",0.4
"79",2009,4,"na","SoilDrenchFungicide","n","Helianthemum bicknellii",1.8
"80",2009,4,"na","SoilDrenchFungicide","n","Koeleria cristata",11.55
