"","Plot","Year","Subplot","Treatment","invsimpson_biomass"
"1",1,2008,"na","Insecticide",1
"2",2,2008,"na","Control",1
"3",3,2008,"na","FoliarFungicide",1
"4",4,2008,"na","SoilDrenchFungicide",1
"5",5,2008,"na","AllPesticides",1
"6",6,2008,"na","Fenced",1
"7",7,2008,"na","AllPesticides",1
"8",8,2008,"na","Control",1
"9",9,2008,"na","Insecticide",1
"10",10,2008,"na","FoliarFungicide",1
"11",11,2008,"na","SoilDrenchFungicide",1
"12",12,2008,"na","Fenced",1
"13",13,2008,"na","AllPesticides",1
"14",14,2008,"na","Control",1
"15",15,2008,"na","FoliarFungicide",1
"16",16,2008,"na","Insecticide",1
"17",17,2008,"na","SoilDrenchFungicide",1
"18",18,2008,"na","Fenced",1
"19",19,2008,"na","Insecticide",1
"20",20,2008,"na","SoilDrenchFungicide",1
"21",21,2008,"na","Fenced",1
"22",22,2008,"na","FoliarFungicide",1
"23",23,2008,"na","AllPesticides",1
"24",24,2008,"na","Control",1
"25",25,2008,"na","Fenced",1
"26",26,2008,"na","FoliarFungicide",1
"27",27,2008,"na","SoilDrenchFungicide",1
"28",28,2008,"na","AllPesticides",1
"29",29,2008,"na","Control",1
"30",30,2008,"na","Insecticide",1
"31",31,2008,"na","SoilDrenchFungicide",1
"32",32,2008,"na","Control",1
"33",33,2008,"na","Fenced",1
"34",34,2008,"na","AllPesticides",1
"35",35,2008,"na","Insecticide",1
"36",36,2008,"na","FoliarFungicide",1
"37",37,2008,"na","Control",1
"38",38,2008,"na","Fenced",1
"39",39,2008,"na","FoliarFungicide",1
"40",40,2008,"na","Insecticide",1
"41",41,2008,"na","AllPesticides",1
"42",42,2008,"na","SoilDrenchFungicide",1
"43",43,2008,"na","Fenced",1
"44",44,2008,"na","AllPesticides",1
"45",45,2008,"na","Insecticide",1
"46",46,2008,"na","SoilDrenchFungicide",1
"47",47,2008,"na","Control",1
"48",48,2008,"na","FoliarFungicide",1
"49",1,2009,"na","Insecticide",2.11463997619132
"50",2,2009,"na","Control",4.1168086449365
"51",3,2009,"na","FoliarFungicide",2.54699970154159
"52",4,2009,"na","SoilDrenchFungicide",4.30224635541411
"53",5,2009,"na","AllPesticides",3.15973003374578
"54",6,2009,"na","Fenced",2.43208403936949
"55",7,2009,"na","AllPesticides",2.32665508365975
"56",8,2009,"na","Control",2.15880538336528
"57",9,2009,"na","Insecticide",2.75306253569224
"58",10,2009,"na","FoliarFungicide",2.06659668430789
