"","Year","Plot","Treatment","Functional.group","Mass.g.m.2."
"1",2007,1,"AllPesticides","C3",0
"2",2007,1,"AllPesticides","F",0
"3",2007,1,"AllPesticides","L",54.2
"4",2007,1,"AllPesticides","C4",0
"5",2007,1,"AllPesticides","W",0
"6",2007,1,"AllPesticides","moss_lichen",0
"7",2007,1,"AllPesticides","moss",0
"8",2007,2,"Insecticide","C3",0
"9",2007,2,"Insecticide","F",0
"10",2007,2,"Insecticide","L",3.2
"11",2007,2,"Insecticide","C4",0
"12",2007,2,"Insecticide","W",0
"13",2007,2,"Insecticide","moss_lichen",0
"14",2007,2,"Insecticide","moss",0
"15",2007,3,"Control","C3",0
"16",2007,3,"Control","F",0
"17",2007,3,"Control","L",83.1
"18",2007,3,"Control","C4",0
"19",2007,3,"Control","W",0
"20",2007,3,"Control","moss_lichen",0
"21",2007,3,"Control","moss",0
"22",2007,4,"SoilDrenchFungicide","C3",0
"23",2007,4,"SoilDrenchFungicide","F",0
"24",2007,4,"SoilDrenchFungicide","L",58.6
"25",2007,4,"SoilDrenchFungicide","C4",0
"26",2007,4,"SoilDrenchFungicide","W",0
"27",2007,4,"SoilDrenchFungicide","moss_lichen",0
"28",2007,4,"SoilDrenchFungicide","moss",0
"29",2007,5,"FoliarFungicide","C3",0
"30",2007,5,"FoliarFungicide","F",0
"31",2007,5,"FoliarFungicide","L",81.8
"32",2007,5,"FoliarFungicide","C4",0
"33",2007,5,"FoliarFungicide","W",0
"34",2007,5,"FoliarFungicide","moss_lichen",0
"35",2007,5,"FoliarFungicide","moss",0
"36",2007,6,"FoliarFungicide","C3",1.2
"37",2007,6,"FoliarFungicide","F",61.5
"38",2007,6,"FoliarFungicide","L",110.2
"39",2007,6,"FoliarFungicide","C4",186.4
"40",2007,6,"FoliarFungicide","W",0
"41",2007,6,"FoliarFungicide","moss_lichen",0
"42",2007,6,"FoliarFungicide","moss",0
"43",2007,7,"Insecticide","C3",1.3
"44",2007,7,"Insecticide","F",34.1
"45",2007,7,"Insecticide","L",107.1
"46",2007,7,"Insecticide","C4",99.8
"47",2007,7,"Insecticide","W",0
"48",2007,7,"Insecticide","moss_lichen",0
"49",2007,7,"Insecticide","moss",0
"50",2007,8,"AllPesticides","C3",0.1
"51",2007,8,"AllPesticides","F",28.9
"52",2007,8,"AllPesticides","L",102.5
"53",2007,8,"AllPesticides","C4",33.8
"54",2007,8,"AllPesticides","W",0
"55",2007,8,"AllPesticides","moss_lichen",0
"56",2007,8,"AllPesticides","moss",0
"57",2007,9,"Control","C3",0
"58",2007,9,"Control","F",8.4
"59",2007,9,"Control","L",188.8
"60",2007,9,"Control","C4",36.4
