"","Species_Diaz","Species","contrast","estimate","SE","df","t.ratio","p.value","exp","Functional.group","Treatment","Leaf_Area","Nmass","LMA","Plant_height","Diaspore_mass","LDMC"
"1","Achillea millefolium (lanulosa)","Achillea millefolium (lanulosa)","Control - Insecticide",0.189439173331732,0.207678518132733,69.9999999999907,-0.91217510137787,0.891301722448062,"Biodiversity experiment","F","Insecticide",NA,NA,NA,NA,NA,NA
"2","Achillea millefolium (lanulosa)","Achillea millefolium (lanulosa)","Control - FoliarFungicide",0.151538582231687,0.211001585424548,69.9999999999901,-0.718186936495206,0.951640966637196,"Biodiversity experiment","F","FoliarFungicide",NA,NA,NA,NA,NA,NA
"3","Achillea millefolium (lanulosa)","Achillea millefolium (lanulosa)","Control - SoilDrenchFungicide",0.0458760606383137,0.211001585424548,69.9999999999917,-0.217420454666292,0.999491237029441,"Biodiversity experiment","F","SoilDrenchFungicide",NA,NA,NA,NA,NA,NA
"4","Achillea millefolium (lanulosa)","Achillea millefolium (lanulosa)","Control - AllPesticides",0.501556338734586,0.214736416708161,69.9999999999965,-2.33568365544736,0.14599353102564,"Biodiversity experiment","F","AllPesticides",NA,NA,NA,NA,NA,NA
"5","Agrostis scabra","Agrostis scabra","Control - SoilDrenchFungicide",-0.108624302907938,0.268969195312102,24.9999999999991,0.40385406507944,0.994035692412985,"Oldfield experiment","C3","SoilDrenchFungicide",90,11.13552873,102.2146344,0.76,0.0573,0.486068781
"6","Agrostis scabra","Agrostis scabra","Control - Insecticide",0.168649239845966,0.279122525119175,24.9999999999995,-0.604212217462417,0.973115235829999,"Oldfield experiment","C3","Insecticide",90,11.13552873,102.2146344,0.76,0.0573,0.486068781
"7","Agrostis scabra","Agrostis scabra","Control - Fenced",0.203186364624308,0.312068470108933,24.9999999999989,-0.651095461689489,0.964830430480946,"Oldfield experiment","C3","Fenced",90,11.13552873,102.2146344,0.76,0.0573,0.486068781
"8","Agrostis scabra","Agrostis scabra","Control - AllPesticides",-0.134907301325493,0.268969195312102,24.9999999999989,0.501571569074857,0.986456331212411,"Oldfield experiment","C3","AllPesticides",90,11.13552873,102.2146344,0.76,0.0573,0.486068781
"9","Ambrosia artemisiifolia","Ambrosia artemisiifolia elatior","Control - AllPesticides",-0.30858132457619,0.15563584671904,41.9999999999987,1.98271369405824,0.369045621381457,"Oldfield experiment","F","AllPesticides",650.16,25.5,39.86712755,0.694945832,3.9899,0.214486008
"10","Ambrosia artemisiifolia","Ambrosia artemisiifolia elatior","Control - FoliarFungicide",-0.189578103811996,0.15563584671904,41.9999999999988,1.21808765659385,0.825597297676155,"Oldfield experiment","F","FoliarFungicide",650.16,25.5,39.86712755,0.694945832,3.9899,0.214486008
"11","Ambrosia artemisiifolia","Ambrosia artemisiifolia elatior","Control - Insecticide",-0.109005112332423,0.15563584671904,41.9999999999986,0.700385641421049,0.980881407104519,"Oldfield experiment","F","Insecticide",650.16,25.5,39.86712755,0.694945832,3.9899,0.214486008
"12","Ambrosia artemisiifolia","Ambrosia artemisiifolia elatior","Control - Fenced",-0.305466105129158,0.15563584671904,41.9999999999988,1.96269761477635,0.380248336781875,"Oldfield experiment","F","Fenced",650.16,25.5,39.86712755,0.694945832,3.9899,0.214486008
