"","Species","Treatment","Year2","Year2.trend","SE","df","lower.CL","upper.CL","t.ratio","p.value","exp","Functional.group"
"1","Agrostis scabra","Fenced",9.07142857142857,0.0184467402143143,0.0270971252713228,146.848779717329,-0.0351039589914229,0.0719974394200515,0.680763735252635,0.497093000044453,"Oldfield experiment","C3"
"2","Agrostis scabra","SoilDrenchFungicide",9.07142857142857,0.00633456986561066,0.0215134835662047,69.7754141602744,-0.0365751483324776,0.0492442880636989,0.294446496594423,0.769290963233982,"Oldfield experiment","C3"
"3","Agrostis scabra","Insecticide",9.07142857142857,0.0328684401924177,0.0228723953514397,86.3486635554867,-0.01259775785398,0.0783346382388155,1.43703532959213,0.154321670592006,"Oldfield experiment","C3"
"4","Agrostis scabra","AllPesticides",9.07142857142857,0.00677706592102252,0.0215134835662047,69.7754141602741,-0.0361326522770657,0.0496867841191107,0.315014809208702,0.753690558077597,"Oldfield experiment","C3"
"5","Agrostis scabra","Control",9.07142857142857,0.0469733300251391,0.0228723953514394,86.3486635554922,0.00150713197874185,0.0924395280715363,2.05371275301006,0.0430284812459573,"Oldfield experiment","C3"
"6","Koeleria cristata","Control",9.07142857142857,-0.00616941024473728,0.016567305262016,23.8238053700768,-0.0403760350762342,0.0280372145867596,-0.372384654424275,0.712898670300251,"Biodiversity experiment","C3"
"7","Koeleria cristata","Insecticide",9.07142857142857,-0.0220810428614881,0.0165673052620158,23.8238053700786,-0.0562876676929845,0.0121255819700082,-1.33280835430212,0.195201947534411,"Biodiversity experiment","C3"
"8","Koeleria cristata","FoliarFungicide",9.07142857142857,-0.00933344374588899,0.0167819027912232,25.0723394766651,-0.0438913637597369,0.0252244762679589,-0.556161232847224,0.583030622999926,"Biodiversity experiment","C3"
"9","Koeleria cristata","SoilDrenchFungicide",9.07142857142857,-0.00763113220072437,0.0170261546802867,26.5508037658096,-0.0425935921369469,0.0273313277354982,-0.448200568127098,0.65764465078695,"Biodiversity experiment","C3"
"10","Koeleria cristata","AllPesticides",9.07142857142857,-0.0157381409119376,0.016207657681375,21.8342476084603,-0.0493655662185219,0.0178892843946467,-0.97103117682594,0.342167690388287,"Biodiversity experiment","C3"
"11","Koeleria cristata","FoliarFungicide",9.07142857142857,-0.00400539236008256,0.0321197164071106,18.8176031765592,-0.071276862550476,0.0632660778303108,-0.124701983956367,0.902082002613657,"Oldfield experiment","C3"
"12","Koeleria cristata","SoilDrenchFungicide",9.07142857142857,-0.0410735174816274,0.0321197164071106,18.8176031765592,-0.108344987672021,0.026197952708766,-1.27876339133974,0.216526726780076,"Oldfield experiment","C3"
"13","Koeleria cristata","Control",9.07142857142857,-0.0153178186633083,0.0321197164071106,18.8176031765603,-0.0825892888537013,0.0519536515270847,-0.476897693278428,0.638926386008182,"Oldfield experiment","C3"
"14","Koeleria cristata","Insecticide",9.07142857142857,-0.0274327535627231,0.0321197164071106,18.8176031765592,-0.0947042237531165,0.0398387166276703,-0.854078324198718,0.403803703462534,"Oldfield experiment","C3"
"15","Koeleria cristata","AllPesticides",9.07142857142857,-0.0679247382468898,0.0321197164071106,18.8176031765592,-0.135196208437283,-0.000653268056496431,-2.1147365495373,0.0480280550069021,"Oldfield experiment","C3"
"16","Koeleria cristata","Fenced",9.07142857142857,-0.0155231153298857,0.0321197164071106,18.8176031765593,-0.0827945855202791,0.0517483548605076,-0.483289302219656,0.634465790571139,"Oldfield experiment","C3"
"17","Panicum oligosanthes","Insecticide",9.07142857142857,0.0165240068951752,0.0199812727841232,170.943886809043,-0.0229177981680388,0.0559658119583891,0.826974691437317,0.409404267537821,"Oldfield experiment","C3"
"18","Panicum oligosanthes","FoliarFungicide",9.07142857142857,0.0121802174468266,0.0214567211463548,209.45328688011,-0.0301185888308274,0.0544790237244807,0.567664433151098,0.57087081093199,"Oldfield experiment","C3"
"19","Panicum oligosanthes","SoilDrenchFungicide",9.07142857142857,0.00066008088043952,0.0199812727841232,170.943886809043,-0.0387817241827745,0.0401018859436535,0.0330349766789635,0.973685235965539,"Oldfield experiment","C3"
"20","Panicum oligosanthes","AllPesticides",9.07142857142857,0.00364346497022707,0.0187988442959768,141.535117886454,-0.0335193461222899,0.040806276062744,0.193813242604856,0.846599999082337,"Oldfield experiment","C3"
