order,family,genus,species,Leaf_Area,Nmass,LMA,Plant_height,Diaspore_mass,SSD_observed,LDMC,SSD_imputed,SSD_combined
Sapindales,Sapindaceae,Acer,Acer negundo,NA,28.3498206,44.79586572,10.02481866,29.7327,0.447590254,NA,NA,0.447590254
Sapindales,Sapindaceae,Acer,Acer rubrum,2989.66,17.80857407,58.65691012,14.11947709,21.9339,0.567842634,NA,NA,0.567842634
Asterales,Asteraceae,Achillea,Achillea millefolium,627.23,20.54814349,72.41469295,0.313157943,0.1428,0.23062,NA,NA,0.23062
Lamiales,Lamiaceae,Agastache,Agastache foeniculum,NA,20.03272323,92.59259259,NA,0.2627,NA,NA,NA,NA
Poales,Poaceae,Elymus,Elymus repens,980.81,26.4533809,47.32494786,0.571625874,2.3627,0.271473942,NA,NA,0.271473942
Poales,Poaceae,Elymus,Elymus smithii,775.95,20.12485911,43.24476237,0.606732846,3.5386,0.336075249,NA,NA,0.336075249
Poales,Poaceae,Poa,Poa nemoralis,526.98,22.08030111,28.31129382,0.460794715,0.1326,0.4779,NA,NA,0.4779
Poales,Poaceae,Agrostis,Agrostis scabra,90,11.13552873,102.2146344,0.76,0.0573,NA,0.486068781,0.434319077,0.434319077
Asparagales,Amaryllidaceae,Allium,Allium cernuum,NA,NA,NA,NA,3.85,NA,NA,NA,NA
Asparagales,Amaryllidaceae,Allium,Allium stellatum,NA,31.84,67,NA,1.929,NA,NA,NA,NA
Fagales,Betulaceae,Alnus,Alnus incana,2583.96,33.70232216,55.29773946,9.53491529,0.6649,0.468294779,NA,NA,0.468294779
Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus retroflexus,3379.06,32.54373277,59.98288243,0.464284504,0.3976,NA,0.21734381,0.209758157,0.209758157
Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,650.16,25.5,39.86712755,0.694945832,3.9899,NA,0.214486008,0.208260668,0.208260668
Asterales,Asteraceae,Ambrosia,Ambrosia psilostachya,461.55,20.36165666,69.1759069,0.525378172,6.3926,0.278686743,NA,NA,0.278686743
Rosales,Rosaceae,Amelanchier,Amelanchier alnifolia,964.61,18.2,106.7620663,3.86283244,5.5447,NA,NA,NA,NA
Rosales,Rosaceae,Amelanchier,Amelanchier arborea,718.53,NA,37.76387844,14.22816601,5.67,NA,NA,NA,NA
Rosales,Rosaceae,Amelanchier,Amelanchier spicata,814.25,20.82318419,38.33934222,3.26644707,4,NA,NA,NA,NA
Rosales,Rosaceae,Amelanchier,Amelanchier laevis,1085.83,NA,29.58310484,12.19,22.9474,NA,NA,NA,NA
Rosales,Rosaceae,Amelanchier,Amelanchier sanguinea,NA,NA,NA,3.04,5.395,NA,NA,NA,NA
Fabales,Fabaceae,Amorpha,Amorpha canescens,419.95,23.78395978,68.72297392,0.652660253,1.9072,NA,NA,NA,NA
Fabales,Fabaceae,Amphicarpaea,Amphicarpaea bracteata,1459.35,30.41156639,26.5785543,NA,30.792,NA,NA,NA,NA
Poales,Poaceae,Andropogon,Andropogon gerardi,1354.37,12.03430361,54.13754643,1.356317032,1.9015,0.262383367,NA,NA,0.262383367
Ranunculales,Ranunculaceae,Anemone,Anemone cylindrica,614.21,17.60931572,75.88145286,0.37,0.9153,NA,NA,NA,NA
Ranunculales,Ranunculaceae,Anemone,Anemone patens,800.68,NA,42.20762002,0.197468082,1.96,NA,NA,NA,NA
Ranunculales,Ranunculaceae,Anemone,Anemone quinquefolia,1600.21,15.2996732,27.47850821,0.277275432,1.13,NA,0.150972815,0.174979755,0.174979755
Ranunculales,Ranunculaceae,Anemone,Anemone virginiana,NA,13.8,46.8,NA,1.13,NA,NA,NA,NA
Asterales,Asteraceae,Antennaria,Antennaria parlinii,NA,NA,NA,NA,0.07,NA,NA,NA,NA
Asterales,Asteraceae,Antennaria,Antennaria neglecta,278.08,14.70791148,56.49767406,0.3,0.0693,NA,NA,NA,NA
Asterales,Asteraceae,Antennaria,Antennaria plantaginifolia,NA,NA,NA,NA,0.0735,NA,NA,NA,NA
Gentianales,Apocynaceae,Apocynum,Apocynum androsaemifolium,7156.82,17.2556779,51.59986203,0.735820838,0.2289,NA,0.334554127,0.271176363,0.271176363
Gentianales,Apocynaceae,Apocynum,Apocynum cannabinum,NA,17.24,97.94319295,0.95,0.9519,NA,NA,NA,NA
Ranunculales,Ranunculaceae,Aquilegia,Aquilegia canadensis,NA,NA,NA,0.9,0.5,NA,NA,NA,NA
Brassicales,Brassicaceae,Boechera,Boechera divaricarpa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brassicales,Brassicaceae,Turritis,Turritis glabra,1820.48,29.32776688,37.61616884,0.658829211,0.0618,NA,0.166599084,0.18316792,0.18316792
Brassicales,Brassicaceae,Arabis,Arabis hirsuta,177.46,20,42.89917537,0.37194375,0.0908,NA,0.16,0.17971,0.17971
Apiales,Araliaceae,Aralia,Aralia nudicaulis,4321.2,20.1078031,37.72711021,0.45,5.905,NA,NA,NA,NA
Caryophyllales,Caryophyllaceae,Moehringia,Moehringia lateriflora,132.81,23.24,18.8253012,NA,0.4599,NA,NA,NA,NA
Poales,Poaceae,Aristida,Aristida basiramea,33.02,NA,75.13148009,0.2,NA,NA,NA,NA,NA
Poales,Poaceae,Aristida,Aristida tuberculosa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rosales,Rosaceae,Aronia,Aronia melanocarpa,1159.95,17.37141111,72.26121486,1.338918128,1.8437,NA,NA,NA,NA
Asterales,Asteraceae,Artemisia,Artemisia ludoviciana,262.21,18.90475139,61.36297928,0.48641546,0.1241,NA,0.311672567,0.259186425,0.259186425
Gentianales,Apocynaceae,Asclepias,Asclepias exaltata,NA,NA,NA,NA,NA,NA,NA,NA,NA
