Year,Experiment,Plot,Subplot,BigBioPlot#,Block#,TreatmentCode,BigBioNumSp,FertTrt,Species,Mass g/m^2)
2021,E244,1,,29,,AllPesticides,1,n,Lespedeza capitata,135.4
2021,E244,1,,29,,AllPesticides,1,n,Miscellaneous litter,45.3
2021,E244,1,,29,,AllPesticides,1,n,Real Weeds,68.2
2021,E244,2,,29,,Insecticide,1,n,Lespedeza capitata,24.3
2021,E244,2,,29,,Insecticide,1,n,Miscellaneous litter,35.2
2021,E244,2,,29,,Insecticide,1,n,Real Weeds,55.9
2021,E244,3,,29,,Control,1,n,Lespedeza capitata,45.5
2021,E244,3,,29,,Control,1,n,Real Weeds,71.1
2021,E244,4,,29,,SoilDrenchFungicide,1,n,Lespedeza capitata,63.9
2021,E244,4,,29,,SoilDrenchFungicide,1,n,Miscellaneous litter,27.5
2021,E244,4,,29,,SoilDrenchFungicide,1,n,Real Weeds,28.8
2021,E244,5,,29,,FoliarFungicide,1,n,Lespedeza capitata,80.6
2021,E244,5,,29,,FoliarFungicide,1,n,Miscellaneous litter,3.2
2021,E244,5,,29,,FoliarFungicide,1,n,Real Weeds,51.8
2021,E244,6,,64,,FoliarFungicide,32,n,Achillea millefolium(lanulosa),0.9
2021,E244,6,,64,,FoliarFungicide,32,n,Andropogon gerardi,71.8
2021,E244,6,,64,,FoliarFungicide,32,n,Bouteloua gracilis,0.4
2021,E244,6,,64,,FoliarFungicide,32,n,Lupinus perennis,2.6
2021,E244,6,,64,,FoliarFungicide,32,n,Panicum virgatum,1.3
2021,E244,6,,64,,FoliarFungicide,32,n,Petalostemum purpureum,18.6
2021,E244,6,,64,,FoliarFungicide,32,n,Petalostemum villosum,5.3
2021,E244,6,,64,,FoliarFungicide,32,n,Poa pratensis,3
2021,E244,6,,64,,FoliarFungicide,32,n,Schizachyrium scoparium,1.6
2021,E244,6,,64,,FoliarFungicide,32,n,Solidago rigida,38.9
2021,E244,6,,64,,FoliarFungicide,32,n,Sorghastrum nutans,2.4
2021,E244,7,,64,,Insecticide,32,n,Amorpha canescens,13.2
2021,E244,7,,64,,Insecticide,32,n,Andropogon gerardi,84.6
2021,E244,7,,64,,Insecticide,32,n,Coreopsis palmata,19
2021,E244,7,,64,,Insecticide,32,n,Koeleria cristata,9.5
2021,E244,7,,64,,Insecticide,32,n,Lupinus perennis,0.1
2021,E244,7,,64,,Insecticide,32,n,Miscellaneous litter,1.3
2021,E244,7,,64,,Insecticide,32,n,Monarda fistulosa,5.9
2021,E244,7,,64,,Insecticide,32,n,Petalostemum purpureum,0.5
2021,E244,7,,64,,Insecticide,32,n,Poa pratensis,7
2021,E244,7,,64,,Insecticide,32,n,Real Weeds,0.4
2021,E244,7,,64,,Insecticide,32,n,Schizachyrium scoparium,15.3
2021,E244,7,,64,,Insecticide,32,n,Solidago nemoralis,17.2
2021,E244,7,,64,,Insecticide,32,n,Sorghastrum nutans,52.6
2021,E244,8,,64,,AllPesticides,32,n,Achillea millefolium(lanulosa),10.9
2021,E244,8,,64,,AllPesticides,32,n,Andropogon gerardi,131
2021,E244,8,,64,,AllPesticides,32,n,Koeleria cristata,4.8
2021,E244,8,,64,,AllPesticides,32,n,Lespedeza capitata,4.3
2021,E244,8,,64,,AllPesticides,32,n,Liatris aspera,59.3
2021,E244,8,,64,,AllPesticides,32,n,Lupinus perennis,58.2
2021,E244,8,,64,,AllPesticides,32,n,Petalostemum purpureum,6.8
2021,E244,8,,64,,AllPesticides,32,n,Poa pratensis,6.7
2021,E244,8,,64,,AllPesticides,32,n,Real Weeds,0.2
2021,E244,8,,64,,AllPesticides,32,n,Schizachyrium scoparium,4.2
2021,E244,8,,64,,AllPesticides,32,n,Solidago nemoralis,21.3
2021,E244,8,,64,,AllPesticides,32,n,Solidago rigida,5.1
2021,E244,8,,64,,AllPesticides,32,n,Sorghastrum nutans,1
2021,E244,9,,64,,Control,32,n,Achillea millefolium(lanulosa),1.5
2021,E244,9,,64,,Control,32,n,Amorpha canescens,41.1
2021,E244,9,,64,,Control,32,n,Andropogon gerardi,0.5
2021,E244,9,,64,,Control,32,n,Bouteloua gracilis,3.2
2021,E244,9,,64,,Control,32,n,Koeleria cristata,12.6
2021,E244,9,,64,,Control,32,n,Lespedeza capitata,7.6
2021,E244,9,,64,,Control,32,n,Liatris aspera,19.5
2021,E244,9,,64,,Control,32,n,Miscellaneous litter,3
2021,E244,9,,64,,Control,32,n,Petalostemum purpureum,9.9
2021,E244,9,,64,,Control,32,n,Poa pratensis,5
2021,E244,9,,64,,Control,32,n,Real Weeds,0.1
2021,E244,9,,64,,Control,32,n,Solidago rigida,0.2
2021,E244,9,,64,,Control,32,n,Sorghastrum nutans,21.1
2021,E244,9,,64,,Control,32,n,Stipa spartea,11.8
2021,E244,10,,64,,SoilDrenchFungicide,32,n,Andropogon gerardi,100.4
2021,E244,10,,64,,SoilDrenchFungicide,32,n,Bouteloua gracilis,1.4
2021,E244,10,,64,,SoilDrenchFungicide,32,n,Coreopsis palmata,22.2
2021,E244,10,,64,,SoilDrenchFungicide,32,n,Liatris aspera,96.5
2021,E244,10,,64,,SoilDrenchFungicide,32,n,Lupinus perennis,12.6
2021,E244,10,,64,,SoilDrenchFungicide,32,n,Panicum virgatum,1.2
2021,E244,10,,64,,SoilDrenchFungicide,32,n,Petalostemum purpureum,2.5
2021,E244,10,,64,,SoilDrenchFungicide,32,n,Poa pratensis,14.3
2021,E244,10,,64,,SoilDrenchFungicide,32,n,Schizachyrium scoparium,0.1
2021,E244,10,,64,,SoilDrenchFungicide,32,n,Solidago rigida,14.6
2021,E244,10,,64,,SoilDrenchFungicide,32,n,Sorghastrum nutans,0.1
2021,E244,11,,69,,SoilDrenchFungicide,1,n,Achillea millefolium(lanulosa),28.4
2021,E244,11,,69,,SoilDrenchFungicide,1,n,Real Weeds,25.7
2021,E244,12,,69,,AllPesticides,1,n,Achillea millefolium(lanulosa),50.1
2021,E244,12,,69,,AllPesticides,1,n,Real Weeds,26
2021,E244,13,,69,,FoliarFungicide,1,n,Achillea millefolium(lanulosa),10.8
2021,E244,13,,69,,FoliarFungicide,1,n,Real Weeds,27.4
2021,E244,14,,69,,Insecticide,1,n,Achillea millefolium(lanulosa),12.8
2021,E244,14,,69,,Insecticide,1,n,Real Weeds,22.8
2021,E244,15,,69,,Control,1,n,Real Weeds,90.6
2021,E244,16,,78,,FoliarFungicide,32,n,Miscellaneous litter,9.1
2021,E244,16,,78,,FoliarFungicide,32,n,Real Weeds,0.1
2021,E244,16,,78,,FoliarFungicide,32,n,Schizachyrium scoparium,39.6
2021,E244,16,,78,,FoliarFungicide,32,n,Solidago nemoralis,24.6
2021,E244,16,,78,,FoliarFungicide,32,n,Solidago rigida,0.7
2021,E244,16,,78,,FoliarFungicide,32,n,Solidago rigida,15.3
2021,E244,16,,78,,FoliarFungicide,32,n,Sorghastrum nutans,1
2021,E244,16,,78,,FoliarFungicide,32,n,Sorghastrum nutans,11
2021,E244,17,,78,,Control,32,n,Achillea millefolium(lanulosa),1.6
2021,E244,17,,78,,Control,32,n,Amorpha canescens,63.3
2021,E244,17,,78,,Control,32,n,Amorpha canescens,0.1
2021,E244,17,,78,,Control,32,n,Andropogon gerardi,56.4
2021,E244,17,,78,,Control,32,n,Andropogon gerardi,9.4
2021,E244,17,,78,,Control,32,n,Asclepias tuberosa,282.1
2021,E244,17,,78,,Control,32,n,Coreopsis palmata,58.4
2021,E244,17,,78,,Control,32,n,Lespedeza capitata,8.7
2021,E244,17,,78,,Control,32,n,Liatris aspera,4
2021,E244,17,,78,,Control,32,n,Liatris aspera,4.7
2021,E244,17,,78,,Control,32,n,Lupinus perennis,18.5
2021,E244,17,,78,,Control,32,n,Lupinus perennis,9.6
2021,E244,17,,78,,Control,32,n,Panicum virgatum,2.9
2021,E244,17,,78,,Control,32,n,Petalostemum purpureum,1.7
2021,E244,17,,78,,Control,32,n,Poa pratensis,5.5
2021,E244,17,,78,,Control,32,n,Poa pratensis,11.5
2021,E244,18,,78,,SoilDrenchFungicide,32,n,Achillea millefolium(lanulosa),2.2
2021,E244,18,,78,,SoilDrenchFungicide,32,n,Andropogon gerardi,30.4
2021,E244,18,,78,,SoilDrenchFungicide,32,n,Lespedeza capitata,2.1
2021,E244,18,,78,,SoilDrenchFungicide,32,n,Lupinus perennis,2.9
2021,E244,18,,78,,SoilDrenchFungicide,32,n,Miscellaneous litter,17.8
2021,E244,18,,78,,SoilDrenchFungicide,32,n,Petalostemum candidum,11.2
2021,E244,18,,78,,SoilDrenchFungicide,32,n,Petalostemum purpureum,0.6
2021,E244,18,,78,,SoilDrenchFungicide,32,n,Poa pratensis,3.3
2021,E244,18,,78,,SoilDrenchFungicide,32,n,Real Weeds,7.4
2021,E244,18,,78,,SoilDrenchFungicide,32,n,Schizachyrium scoparium,2.4
2021,E244,18,,78,,SoilDrenchFungicide,32,n,Solidago nemoralis,36.4
