Cedar Creek Ecosystem Science Reserve Dataset: ple244

Cedar Creek Ecosystem Science Reserve
2660 Fawn Lake Dr. NE
Bethel, MN 55005
Office:  763-434-5131
Fax:  763-434-7361

_________________________________________________________________________

USER AGREEMENT:  As a condition for access to data provided by researchers of the Cedar Creek LTER, I agree to abide by the following code of ethics.

A. I agree to notify the Cedar Creek LTER scientists who gathered data if I would like to use those data in any publication. I acknowledge that these data were gathered by Cedar Creek scientists because they had already perceived the importance of these data for a variety of scientific and societal issues. I will provide them with formal recognition that, at their discretion, may include co-authorship or acknowledgements on publications.

B. I realize that the researchers who gathered these data may be using them for scientific analyses, papers or publications that are currently planned or in preparation, and that such activities have precedence over any that I might wish to prepare. In this case, my preparation of any work may be delayed, at the option of the Cedar Creek researchers involved, until their work is completed.

C. Because it may be possible to misinterpret a data set if it is taken out of context, I will seek the assistance and opinion of those Cedar Creek researchers involved in the design of a study and the collection of the data as I analyze the data. Moreover, I realize that this computer data set is not complete, and it may contain errors. The complete data set includes extensive written documentation, which should be referenced to reduce the chance of errors in data and errors of interpretation.

_________________________________________________________________________



The purpose of this experiment is to determine the influences of natural enemies, including plant pathogenic fungi and insect pests, influence plant community composition, productivity, and diversity over time. The experiment is being conducted in a subset of plots within the Big Biodiversity field, including monoculture, 2-species, 4-species, 8-species, 16-species, and 32-species plots. There are 5 different treatments: foliar fungicide, soil drench fungicide, foliar insecticide, the combination of all pesticides, and nontreated control. The pesticides are applied repeatedly throughout the growing season. Within the plots, community productivity, species composition, percent cover, and pest damage are being quantified over time.

_________________________________________________________________________

METHODS AND PROTOCOLS FOLLOW DATA


Experiment Investigators:

Kinkel, Linda 
Borer, Elizabeth 
Seabloom, Eric 
 

ATTRIBUTES:

Field 1 | Name: Year | Definition: Year 
Field 2 | Name: Date | Definition: Date 
Field 3 | Name: Plot | Definition: Plot Identifier 
Field 4 | Name: Treatment | Definition: Treatment Type 
Field 5 | Name: Species | Definition: Species 
Field 6 | Name: Mass g/m^2 | Definition: Mass g/m^2 | Unit: gramsPerMeterSquared 


Data:

Year	Date	Plot	Treatment	Species	Mass g/m^2)
2007	10/5/2007	1	AllPesticides	Agropyron repens	1.1
2007	10/5/2007	1	AllPesticides	Aristida basiramea	9.6
2007	10/5/2007	1	AllPesticides	Bouteloua gracilis	0.3
2007	10/5/2007	1	AllPesticides	Cyperus sp.	0.6
2007	10/5/2007	1	AllPesticides	Lespedeza capitata	54.2
2007	10/5/2007	1	AllPesticides	Schizachyrium scoparium	1.3
2007	10/2/2007	2	Insecticide	Agropyron repens	2.2
2007	10/2/2007	2	Insecticide	Agrostis scabra	20.5
2007	10/2/2007	2	Insecticide	Cyperus sp.	6
2007	10/2/2007	2	Insecticide	Lespedeza capitata	3.2
2007	10/16/2007	3	Control	Aristida basiramea	20.4
2007	10/16/2007	3	Control	Bouteloua gracilis	0.1
2007	10/16/2007	3	Control	Cyperus sp.	0.7
2007	10/16/2007	3	Control	Cyperus Tectorum	1.7
2007	10/16/2007	3	Control	Hedeoma hispida	0.4
2007	10/16/2007	3	Control	Lespedeza capitata	83.1
2007	10/16/2007	3	Control	Petalostemum purpureum	0.2
2007	10/16/2007	3	Control	Taraxicum officinalis	0.9
2007	10/5/2007	4	SoilDrenchFungicide	Aristida basiramea	12.5
2007	10/5/2007	4	SoilDrenchFungicide	Crepis tectorum	0.1
2007	10/5/2007	4	SoilDrenchFungicide	Cyperus sp.	1.1
2007	10/5/2007	4	SoilDrenchFungicide	Euphorbia glyptosperma	0.1
2007	10/5/2007	4	SoilDrenchFungicide	Lespedeza capitata	58.6
2007	10/5/2007	4	SoilDrenchFungicide	Panicum oligosanthes	2.1
2007	10/5/2007	4	SoilDrenchFungicide	Rumex acetosella	3.8
2007	10/5/2007	4	SoilDrenchFungicide	Schizachyrium scoparium	0.6
2007	10/5/2007	5	FoliarFungicide	Agrostis scabra	16.4
2007	10/5/2007	5	FoliarFungicide	Ambrosia artemisiifolia elatior	2.3
2007	10/5/2007	5	FoliarFungicide	Bouteloua gracilis	0.7
2007	10/5/2007	5	FoliarFungicide	Crepis tectorum	0.8
2007	10/5/2007	5	FoliarFungicide	Cyperus sp.	0.6
2007	10/5/2007	5	FoliarFungicide	Lespedeza capitata	81.8
2007	10/5/2007	5	FoliarFungicide	Poa pratensis	2.7
2007	10/5/2007	5	FoliarFungicide	Rumex acetosella	0.8
2007	10/5/2007	6	FoliarFungicide	Achillea millefolium(lanulosa)	0.7
2007	10/5/2007	6	FoliarFungicide	Andropogon gerardi	81.8
2007	10/5/2007	6	FoliarFungicide	Bouteloua gracilis	14.3
2007	10/5/2007	6	FoliarFungicide	Koeleria cristata	1.2
2007	10/5/2007	6	FoliarFungicide	Lespedeza capitata	9.5
2007	10/5/2007	6	FoliarFungicide	Lupinus perennis	65.8
2007	10/5/2007	6	FoliarFungicide	Panicum virgatum	1.5
2007	10/5/2007	6	FoliarFungicide	Petalostemum purpureum	20.5
2007	10/5/2007	6	FoliarFungicide	Petalostemum villosum	14.4
2007	10/5/2007	6	FoliarFungicide	Schizachyrium scoparium	70.3
2007	10/5/2007	6	FoliarFungicide	Solidago nemoralis	0.6
2007	10/5/2007	6	FoliarFungicide	Solidago rigida	60.2
2007	10/5/2007	6	FoliarFungicide	Sorghastrum nutans	18.5
2007	10/5/2007	7	Insecticide	Amorpha canescens	43.5
2007	10/5/2007	7	Insecticide	Andropogon gerardi	54
2007	10/5/2007	7	Insecticide	Bouteloua gracilis	8.4
2007	10/5/2007	7	Insecticide	Koeleria cristata	1.3
2007	10/5/2007	7	Insecticide	Lespedeza capitata	21.1
2007	10/5/2007	7	Insecticide	Lupinus perennis	19.4
2007	10/5/2007	7	Insecticide	Petalostemum candidum	0.4
2007	10/5/2007	7	Insecticide	Petalostemum purpureum	9.9
2007	10/5/2007	7	Insecticide	Petalostemum villosum	12.8
2007	10/5/2007	7	Insecticide	Schizachyrium scoparium	30.9
2007	10/5/2007	7	Insecticide	Solidago rigida	34.1
2007	10/5/2007	7	Insecticide	Sorghastrum nutans	6.5
2007	10/2/2007	8	AllPesticides	Bouteloua curtipendula	0.9
2007	10/2/2007	8	AllPesticides	Bouteloua gracilis	15
2007	10/2/2007	8	AllPesticides	Koeleria cristata	0.1
2007	10/2/2007	8	AllPesticides	Lespedeza capitata	32.3
2007	10/2/2007	8	AllPesticides	Liatris aspera	1.9
2007	10/2/2007	8	AllPesticides	Lupinus perennis	35.7
2007	10/2/2007	8	AllPesticides	Panicum virgatum	3.8
2007	10/2/2007	8	AllPesticides	Petalostemum purpureum	0.5
2007	10/2/2007	8	AllPesticides	Petalostemum villosum	34
2007	10/2/2007	8	AllPesticides	Schizachyrium scoparium	14.1
2007	10/2/2007	8	AllPesticides	Solidago nemoralis	27
2007	10/16/2007	9	Control	Agropyron repens	2.1
2007	10/16/2007	9	Control	Bouteloua curtipendula	10.5
2007	10/16/2007	9	Control	Bouteloua gracilis	15.2
2007	10/16/2007	9	Control	Coreopsis palmata	2.7
2007	10/16/2007	9	Control	Lespedeza capitata	9.2
2007	10/16/2007	9	Control	Lupinus perennis	80.4
2007	10/16/2007	9	Control	Panicum virgatum	2.6
2007	10/16/2007	9	Control	Petalostemum purpureum	5.4
2007	10/16/2007	9	Control	Petalostemum villosum	93.8
2007	10/16/2007	9	Control	Schizachyrium scoparium	5.2
2007	10/16/2007	9	Control	Solidago nemoralis	5.7
2007	10/16/2007	9	Control	Sorghastrum nutans	2.9
2007	10/3/2007	10	SoilDrenchFungicide	Bouteloua gracilis	23.2
2007	10/3/2007	10	SoilDrenchFungicide	Koeleria cristata	1.2
2007	10/3/2007	10	SoilDrenchFungicide	Lespedeza capitata	2.4
2007	10/3/2007	10	SoilDrenchFungicide	Liatris aspera	1.5
2007	10/3/2007	10	SoilDrenchFungicide	Lupinus perennis	4.7
2007	10/3/2007	10	SoilDrenchFungicide	Monarda fistulosa	18.9
2007	10/3/2007	10	SoilDrenchFungicide	Petalostemum candidum	3.7
2007	10/3/2007	10	SoilDrenchFungicide	Petalostemum purpureum	2.8
2007	10/3/2007	10	SoilDrenchFungicide	Petalostemum villosum	268.3
2007	10/3/2007	10	SoilDrenchFungicide	Schizachyrium scoparium	20
2007	10/3/2007	10	SoilDrenchFungicide	Solidago nemoralis	10.9
2007	10/3/2007	10	SoilDrenchFungicide	Sorghastrum nutans	0.2
2007	9/18/2007	11	SoilDrenchFungicide	Aristida basiramea	13.1
2007	9/18/2007	11	SoilDrenchFungicide	Asclepias tuberosa	160.3
2007	9/18/2007	11	SoilDrenchFungicide	Bouteloua gracilis	0.6
2007	9/18/2007	11	SoilDrenchFungicide	Cyperus sp.	0.7
2007	9/18/2007	11	SoilDrenchFungicide	Erigeron canadensis	5.1
2007	9/18/2007	11	SoilDrenchFungicide	Lepidium densiflorum	0.2
2007	10/5/2007	12	AllPesticides	Achillea millefolium(lanulosa)	3.2
2007	10/5/2007	12	AllPesticides	Aristida basiramea	14.1
2007	10/5/2007	12	AllPesticides	Cyperus sp.	2
2007	10/5/2007	12	AllPesticides	Erigeron canadensis	15.4
2007	10/5/2007	12	AllPesticides	Hedeoma hispida	2.5
2007	10/5/2007	12	AllPesticides	Lepidium densiflorum	0.1
2007	10/5/2007	12	AllPesticides	Schizachyrium scoparium	0.4
2007	10/5/2007	12	AllPesticides	Taraxicum officinalis	0.1
2007	9/18/2007	13	FoliarFungicide	Achillea millefolium(lanulosa)	8.2
2007	9/18/2007	13	FoliarFungicide	Agrostis scabra	0.9
2007	9/18/2007	13	FoliarFungicide	Aristida basiramea	15.6
2007	9/18/2007	13	FoliarFungicide	Crepis tectorum	1.3
2007	9/18/2007	13	FoliarFungicide	Digitaria sp.	0.4
2007	9/18/2007	13	FoliarFungicide	Erigeron canadensis	4
2007	9/18/2007	13	FoliarFungicide	Hedeoma hispida	1
2007	9/18/2007	13	FoliarFungicide	Lepidium densiflorum	0.1
2007	9/18/2007	13	FoliarFungicide	Polygonum tenue	2.2
2007	9/19/2007	14	Insecticide	Achillea millefolium(lanulosa)	9.1
2007	9/19/2007	14	Insecticide	Agrostis scabra	0.5
2007	9/19/2007	14	Insecticide	Aristida basiramea	23
2007	9/19/2007	14	Insecticide	Bouteloua gracilis	2.2
2007	9/19/2007	14	Insecticide	Eragrostis spectabilis	10.7
2007	9/19/2007	14	Insecticide	Erigeron canadensis	0.17
2007	9/19/2007	14	Insecticide	Lupinus perennis	0.3
2007	10/16/2007	15	Control	Achillea millefolium(lanulosa)	2.6
2007	10/16/2007	15	Control	Aristida basiramea	22.6
2007	10/16/2007	15	Control	Bouteloua gracilis	1.4
2007	10/16/2007	15	Control	Crepis tectorum	0.6
